country,SUBJECT,TIME,Value
MEX,PRIV,2016,30.90307
MEX,PRIV,2017,30.24553
MEX,PRIV,2018,42.43426
NZL,PUB,2013,51.90427
NZL,PUB,2014,51.03327
NZL,PUB,2015,51.59092
NZL,PUB,2016,50.59688
NZL,PUB,2017,50.79039
NZL,PUB,2018,53.32481
NOR,PRIV,1995,6.289938
NOR,PRIV,2000,3.699628
NOR,PRIV,2008,3.108774
NOR,PRIV,2009,3.902678
NOR,PRIV,2010,3.99917
NOR,PRIV,2011,4.10392
NOR,PRIV,2013,3.956242
NOR,PRIV,2014,3.717864
NOR,PRIV,2015,4.023935
NOR,PRIV,2016,5.856958
NOR,PRIV,2017,7.035873
NOR,PRIV,2018,6.210323
SVK,PRIV,1995,4.565812
SVK,PRIV,2000,8.579041
SVK,PRIV,2005,22.23783
SVK,PRIV,2008,25.8371
SVK,PRIV,2009,28.48294
SVK,PRIV,2010,29.22333
SVK,PRIV,2011,22.67106
SVK,PRIV,2012,25.70673
SVK,PRIV,2013,24.49827
SVK,PRIV,2014,22.41565
SVK,PRIV,2015,19.77624
SVK,PRIV,2016,28.31406
SVK,PRIV,2017,28.93394
SVK,PRIV,2018,29.26432
ISR,PRIV,1995,40.78202
ISR,PRIV,2000,39.94831
ISR,PRIV,2005,46.93536
ISR,PRIV,2008,40.29611
ISR,PRIV,2009,39.0666
ISR,PRIV,2010,35.2841
ISR,PRIV,2011,51.00249
ISR,PRIV,2012,48.16915
ISR,PRIV,2013,47.81796
ISR,PRIV,2014,47.18818
ISR,PRIV,2015,40.73544
ISR,PRIV,2016,46.14399
ISR,PRIV,2017,42.10048
ISR,PRIV,2018,46.61758
SVN,PUB,2005,74.37175
SVN,PUB,2008,82.06051
SVN,PUB,2009,82.67631
SVN,PUB,2010,82.0846
SVN,PUB,2011,79.84978
SVN,PUB,2012,83.2635
SVN,PUB,2013,83.81774
SVN,PUB,2014,82.59159
SVN,PUB,2015,83.32673
SVN,PUB,2016,81.62304
SVN,PUB,2017,82.55323
SVN,PUB,2018,84.42868
FIN,PUB,1995,97.75153
FIN,PUB,2000,97.23907
FIN,PUB,2005,96.12998
FIN,PUB,2008,95.42854
FIN,PUB,2009,95.77046
FIN,PUB,2010,95.94382
FIN,PUB,2011,95.88282
FIN,PUB,2012,92.33421
FIN,PUB,2013,92.16565
FIN,PUB,2014,92.43954
FIN,PUB,2015,93.05753
FIN,PUB,2016,92.47891
FIN,PUB,2017,91.85652
FIN,PUB,2018,91.02246
GRC,PUB,1995,95.21416
GRC,PUB,2000,99.73251
GRC,PUB,2005,96.69408
GRC,PUB,2012,82.63564
GRC,PUB,2013,74.46649
GRC,PUB,2014,72.79422
GRC,PUB,2015,73.33002
GRC,PUB,2017,77.00947
GRC,PUB,2018,76.89125
HUN,PRIV,1995,19.74266
HUN,PRIV,2000,23.32058
HUN,PRIV,2012,45.56461
HUN,PRIV,2013,36.12717
HUN,PRIV,2014,30.32362
HUN,PRIV,2015,37.05737
HUN,PRIV,2016,35.32937
HUN,PRIV,2017,32.60025
HUN,PRIV,2018,30.5066
IRL,PUB,2015,66.71474
IRL,PUB,2016,67.0984
IRL,PUB,2017,66.93074
IRL,PUB,2018,67.88229
ITA,PRIV,1995,17.07465
ITA,PRIV,2000,22.35344
ITA,PRIV,2005,26.47365
ITA,PRIV,2008,28.81694
ITA,PRIV,2009,30.85125
ITA,PRIV,2010,31.66112
ITA,PRIV,2011,32.50842
ITA,PRIV,2012,33.12733
ITA,PRIV,2013,31.72242
ITA,PRIV,2014,34.13375
ITA,PRIV,2015,35.3583
ITA,PRIV,2016,35.94971
ITA,PRIV,2017,35.14022
ITA,PRIV,2018,35.86589
KOR,PUB,2015,36.13366
KOR,PUB,2016,37.57715
KOR,PUB,2017,38.13295
KOR,PUB,2018,39.74156
LUX,PRIV,2012,5.105193
LUX,PRIV,2013,2.014265
LUX,PRIV,2014,4.603935
LUX,PRIV,2015,4.286397
LUX,PRIV,2016,5.961421
LUX,PRIV,2017,5.736207
LUX,PRIV,2018,5.578425
NZL,PRIV,2013,48.09573
NZL,PRIV,2014,48.96673
NZL,PRIV,2015,48.40908
NZL,PRIV,2016,49.40312
NZL,PRIV,2017,49.20961
NZL,PRIV,2018,46.67519
SVN,PRIV,2005,22.81275
SVN,PRIV,2008,15.85626
SVN,PRIV,2009,14.51098
SVN,PRIV,2010,14.85214
SVN,PRIV,2011,13.88108
SVN,PRIV,2012,13.39097
SVN,PRIV,2013,12.36653
SVN,PRIV,2014,13.6609
SVN,PRIV,2015,13.0264
SVN,PRIV,2016,13.9634
SVN,PRIV,2017,12.98931
SVN,PRIV,2018,11.05917
AUS,PUB,2013,42.4902
AUS,PUB,2014,38.75995
AUS,PUB,2015,37.82026
AUS,PUB,2016,39.52304
AUS,PUB,2017,36.16422
AUS,PUB,2018,34.79288
AUT,PRIV,2012,4.85655
AUT,PRIV,2013,5.415977
AUT,PRIV,2014,5.569183
AUT,PRIV,2015,6.231193
AUT,PRIV,2016,6.425238
AUT,PRIV,2017,8.901289
AUT,PRIV,2018,10.5409
CAN,PUB,1995,56.47751
CAN,PUB,2000,60.857
CAN,PUB,2005,54.88274
CAN,PUB,2008,62.65391
CAN,PUB,2009,56.36401
CAN,PUB,2010,57.15056
CAN,PUB,2011,54.68584
CAN,PUB,2012,58.9617
CAN,PUB,2013,56.42545
CAN,PUB,2014,55.15824
CAN,PUB,2015,56.5753
CAN,PUB,2016,53.26291
CAN,PUB,2017,53.94815
CAN,PUB,2018,52.33773
CZE,PRIV,1995,28.45036
CZE,PRIV,2000,14.32337
